Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
207,207,0,2c00f0ff0c00deff1a00ccff0c00fcff9c3b88a3960590c1a2cef4f508a9382d
208,208,0,0e00f0ffeeff1c00ccffecffecff2c0034c772fe8ea5da35dea50259b8c7685b
209,209,0,9cff2c00ceff3a00ecff2a002c000c00d8a85a5b32cfdc58bc06d234583ce8fc
210,210,0,1e000e002c003a00ecffccff4c00ccff6010be2c2a4364f4645dfcbfd85478a3
211,211,0,0e002c003a00eeff5800befffcffbcff5a5e06babc50fea12a2542ad18eb78d7
212,212,0,0e00d2ff1c00ceff0a00fcffecfffcffbe1c96b102e372df16b4841978a1d848
213,213,0,e0fff0ffc0ffeeffbeff2a00ecff1c0006affe20aea13c4e06b7a65e98e7d84b
214,214,0,aaff4c00deff3a00dcff1a002c002c0016bd1a5ed4f06a454c29c212785388da
215,215,0,00002c00eefffeff1a00fcff1c00bcff2e31e00afc5642d2645cc2aa683f98a2
216,216,0,2c00f0ff0c00eeff0a00fcff0c00ecff2a5a98a7ba38aea4ba02dcc3c8ca38f9
217,217,0,2c0000001c00eeffccffecff9cffecffc2f804cb90c3a6026ea4e438a8a7485a
218,218,0,f0ff0000ceff3a00aeff1a00bcff0c00a8a2ac3fceaaac5c24d20257280bd830
219,219,0,f0ff2c00ceff2c00fcfffcff1c00ecffa4dafc52d613a8296a4522f0f85d98bd
220,220,0,00001e004a00eeff2a00fcffecffccff5c4bd2e7cc5e60b79e4e9ca14821f8ae
221,221,0,5a00aaff1c00defffcfffcffecff1c002c4938a1861950b46adffce2f8b1081c
222,222,0,2c00e0ff0c00deffbeff0a00acff2c0094d752ebeeacc824cca19e50c8b9985e
223,223,0,e0ff1e00eeff4a00dcff1a00ecff0c0018a3bc5460c06c5dd4f37842c82c7810
224,224,0,e0ff0e00feff0c001a00dcff1c00ecffe2fc3c3daa342607525882cf885b78a9
225,225,0,3c00e0ff3a00ceff0a009eff2c00ecff2a5ba4c7ec585ea692359ea538fec8c6
226,226,0,3c00d2ff3a00c0ff0a00dcffdcffdcff8e2d58a8f4f462ce1cc18c06b8a3883b
227,227,0,0000f0ffb0ffeeffecff1a00ecfffcffc6ba400f3ea25a4282ac445df8d5b855
228,228,0,9cff4c00eeff1c00ecff0a00fcfffcff46b17a5ed2dd7c5164176a255848e8ec
229,229,0,1e003c001c002c000a00dcff1c00ecff7e205e1d8c4df2e3865ed6b4284c88a1
230,230,0,1e0000004a00deff2a00beff1c00acff5a5ef6af9a469ea14215e6b658db48e6
231,231,0,2c008cffeeffeeffdcffdcffdcff2c00000c26bc42d3e4eea2abac2888a25852
232,232,0,f0ff0000feff4a00ecff1a00ecff0c00c8a7be304ea4ac56fcc2945c88f8f83f
233,233,0,8cff4c00ceff3a000a00fcff2c001c00e4c9ba5ae600ca39b2371a03d85948cc
234,234,0,0e002c001c000c000a00fcff1c00bcffac3eb2faec5b50c59257c0a4f831d8a6
235,235,0,0000d2ff1c00eeff0a00fcff1c00bcffdc53f8a2482a6eaaf2f1f4d1e8bd780a
236,236,0,f0fff0ffeeffeeffdcff0a00dcff2c0082e904da60b8c612aea1484558aef85d
237,237,0,d2ff0000eeff0c00beff0a00ccff2c0048a16c4a1eb3ac5ecce13e4f481a4822
238,238,0,f0ff2c00feff4a001a001a001c00ecff92ea2c4a7823f819be4f8ae0a85eb8b2
239,239,0,2c00f0ff1c00deff0a00fcff2c00dcff7c5434d88c5ddeadf843cea1881098b8
240,240,0,3c008cff1c00eeffecffbeffecff0c009c3d08a3f608e0be34d074f3c8a9982b
241,241,0,0e00f0ffeeff0c00ccff2a00ccff2c00b4c832fc5ea69a3350a56258e8c5085c
242,242,0,f0ff00000c001c00dcfffcff2c00ecff78a8ea5ab2cdbc597c056236483bb8ff
243,243,0,0e0000002c001c001a00fcff2c00ecff300e8e2fca41e4f6e45c3cc1f85518a4
244,244,0,0000f0ff3a00eeff1a00ccff1c00dcff4a5ef6bacc512ea2dc27a2acb8ed38d5
245,245,0,4c00aaff2c00deffecffdcffdcff2c00ee1ec6b002e5c2dcd6b5141778a18847
246,246,0,0000f0ff1c001c00beff0a00dcff2c0056b0de1ecea13c4da6b5745ef8e4084d
247,247,0,00003c000c000c00dcff0a00ecff0c00b6bb3a5e44ee9a472c274416a85198dc
248,248,0,e0ff00001c000c006800ccff3c00ccff0e2f400d3c56e2d3145db2ab384178a2
