Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
3106,3106,0,-1402,4804,1682,-4672,-1984,4528,2266,-4398,8,6,-12,-24,-8,22,6,10,4952,1852,-4848,-2142,4688,2416,-4516,-2796,24,-24,8,44,24,4,-10,-6,0
3107,3107,0,-2558,4224,2850,-4022,-3094,3854,3360,-3642,8,-26,6,-4,-24,6,-12,10,4416,3098,-4160,-3312,4010,3580,-3776,-3816,8,20,24,28,56,-14,8,-6,0
3108,3108,0,-3582,3400,3824,-3136,-4052,2856,4228,-2628,8,6,-28,-4,8,-10,-12,-24,3532,4072,-3274,-4226,3028,4472,-2736,-4678,-8,-14,-26,-6,-8,-24,-26,12,0
3109,3109,0,-4370,2392,4570,-2090,-4674,1834,4810,-1518,-8,-10,6,-8,-40,22,-28,40,2478,4800,-2162,-4928,1838,5054,-1580,-5110,40,-24,-10,28,40,36,-10,44,0
3110,3110,0,-4874,1188,4970,-876,-5070,576,5106,-254,-8,22,-12,10,-8,-10,-12,26,1264,5256,-936,-5306,610,5370,-304,-5364,24,-24,-10,-6,8,4,-26,-22,0
3111,3111,0,-5150,-60,5106,408,-5102,-688,5058,1040,-8,-10,22,10,8,-10,6,10,-28,5354,412,-5314,-714,5272,1012,-5174,24,4,8,12,-24,4,-26,12,0
3112,3112,0,-5018,-1332,4954,1664,-4858,-1928,4746,2230,-8,6,22,-24,-8,6,6,10,-1368,5102,1658,-5010,-1994,4872,2224,-4728,40,-24,-10,12,24,20,-10,-6,0
3113,3113,0,-4546,-2492,4458,2758,-4290,-3002,4116,3322,8,6,-12,10,-8,22,-28,-4,-2568,4586,2864,-4400,-3104,4154,3368,-3980,24,20,8,12,24,36,-10,28,0
3114,3114,0,-3860,-3518,3632,3736,-3438,-3918,3112,4176,24,6,6,-24,24,-10,22,-40,-3624,3750,3856,-3460,-3998,3214,4244,-2928,40,-14,-26,12,24,-14,-10,-6,0
3115,3115,0,-2870,-4302,2658,4462,-2350,-4630,2090,4768,8,22,22,10,8,6,22,26,-4398,2596,4570,-2366,-4716,2000,4826,-1748,24,-24,-10,12,24,-24,-26,-22,0
3116,3116,0,-1754,-4804,1474,4950,-1146,-5014,834,5046,8,-10,6,10,8,-10,-12,-4,-4956,1414,5078,-1120,-5092,748,5158,-410,8,4,-10,12,-24,20,-10,-6,0
3117,3117,0,-512,-5094,220,5078,110,-5062,-430,5014,-24,22,22,10,8,6,-28,10,-5188,46,5222,240,-5172,-556,5142,868,8,4,24,28,24,-14,-26,12,0
3118,3118,0,740,-5014,-1046,4878,1386,-4772,-1642,4704,24,-10,6,10,8,-10,22,-40,-5124,-1244,5018,1536,-4892,-1890,4826,2228,8,-14,8,-6,24,20,24,28,0
3119,3119,0,2024,-4550,-2296,4414,2602,-4256,-2802,4096,40,-10,-12,26,-8,-10,22,-24,-4684,-2498,4522,2758,-4366,-3060,4212,3394,24,-14,-10,28,24,4,24,12,0
3120,3120,0,3102,-3870,-3356,3626,3622,-3406,-3794,3194,8,-10,-28,26,-24,22,-12,-4,-4014,-3614,3776,3858,-3512,-4014,3304,4246,56,4,-10,12,56,-74,-10,12,0
3121,3121,0,4020,-2922,-4230,2646,4372,-2354,-4550,2102,8,-10,-12,-4,24,6,6,-4,-3024,-4424,2734,4624,-2488,-4812,2192,4972,40,-14,-10,12,56,4,-10,28,0
3122,3122,0,4714,-1812,-4822,1520,4930,-1222,-4998,850,-24,22,6,10,56,6,22,10,-1860,-5030,1546,5086,-1266,-5270,964,5292,8,-58,-10,-22,-8,4,8,28,0
3123,3123,0,5074,-576,-5128,266,5138,50,-5144,-380,-8,6,-28,-4,8,38,-12,-24,-634,-5336,276,5358,52,-5318,-368,5340,24,-14,24,-6,24,-42,42,-6,0
3124,3124,0,5122,710,-5096,-1062,5026,1302,-4950,-1646,8,6,22,-4,8,-10,6,10,744,-5254,-1032,5202,1344,-5064,-1666,5004,8,4,-26,28,8,-14,-10,12,0
3125,3125,0,4858,1898,-4758,-2228,4554,2456,-4454,-2772,-8,-26,-12,-4,-8,6,22,-4,1934,-4846,-2248,4706,2574,-4524,-2814,4360,8,-14,-10,28,8,4,8,12,0
3126,3126,0,4276,2984,-4082,-3272,3830,3528,-3644,-3752,-8,22,6,-24,24,-10,-12,-24,3156,-4128,-3322,3956,3612,-3730,-3840,3476,40,20,24,12,24,20,8,12,0
3127,3127,0,3446,3954,-3196,-4182,2890,4276,-2626,-4462,8,22,22,10,-8,-10,-44,-4,4058,-3214,-4190,2992,4416,-2662,-4600,2392,-8,4,8,12,40,-42,8,12,0
3128,3128,0,2366,4592,-2048,-4736,1738,4850,-1466,-4916,8,22,-12,10,8,6,6,10,4720,-2044,-4848,1718,5016,-1424,-5040,1090,24,-24,-44,-6,-40,-24,8,-6,0
