Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/adc_en_vio_3
1782,1782,0,-110,-8410,-15450,-20974,-24198,-24958,-23356,-19520,18,-10,10,-20,2,-42,10,30,0
1783,1783,0,-13862,-6718,664,8062,14620,19928,23252,24540,18,24,-8,14,2,24,-24,-20,0
1784,1784,0,23570,20200,14986,7918,-78,-8410,-15394,-20942,2,8,10,-4,18,-10,10,-20,0
1785,1785,0,-24176,-24926,-23388,-19552,-13958,-6702,680,8078,2,-26,-24,30,2,-26,10,-4,0
1786,1786,0,14604,19912,23284,24556,23522,20216,14986,7918,2,-10,-8,14,2,-10,10,-4,0
1787,1787,0,-62,-8394,-15450,-20926,-24112,-24974,-23356,-19504,18,8,-40,-36,2,8,10,-20,0
1788,1788,0,-13926,-6792,664,8078,14620,19976,23268,24460,-14,-26,-8,-4,-30,8,26,14,0
1789,1789,0,23490,20216,14922,7886,-62,-8410,-15434,-20942,2,8,10,-4,-14,8,-8,-36,0
1790,1790,0,-24160,-24942,-23372,-19488,-13980,-6766,680,8030,-14,8,-8,-20,18,-10,-8,-4,0
1791,1791,0,14652,19928,23236,24524,23522,20120,14970,7854,18,8,-24,14,2,-42,10,-20,0
1792,1792,0,-110,-8394,-15394,-20926,-24214,-24958,-23356,-19568,-14,-26,-8,14,-14,-10,-8,-4,0
1793,1793,0,-13926,-6702,664,8046,14604,19976,23220,24492,2,24,10,14,2,24,10,14,0
1794,1794,0,23506,20152,14922,7870,-94,-8426,-15450,-20942,2,48,26,30,34,8,10,14,0
1795,1795,0,-24160,-24926,-23372,-19520,-13878,-6808,648,8078,2,-10,42,-4,2,-10,10,14,0
1796,1796,0,14604,19944,23236,24460,23474,20168,14970,7854,2,-10,10,-20,-14,-26,10,-20,0
1797,1797,0,-62,-8426,-15394,-20942,-24198,-24958,-23356,-19520,2,-10,10,-4,2,-10,10,-4,0
1798,1798,0,-13926,-6792,664,8062,14604,19912,23188,24524,2,24,-8,-4,18,-10,42,30,0
1799,1799,0,23506,20168,14970,7854,-110,-8394,-15434,-20974,2,-26,42,-4,-30,8,-8,-20,0
1800,1800,0,-24144,-24958,-23372,-19456,-13894,-6734,696,8046,-14,8,10,-4,18,-10,-24,-20,0
1801,1801,0,14588,19944,23204,24460,23474,20184,14970,7902,2,-26,10,-36,2,48,26,14,0
1802,1802,0,-172,-8458,-15394,-20942,-24176,-24990,-23340,-19456,18,8,-8,-20,2,-10,10,30,0
1803,1803,0,-13910,-6766,696,8078,14620,19928,23204,24492,-30,8,10,-4,50,8,26,-4,0
1804,1804,0,23522,20136,14970,7902,-94,-8426,-15434,-20974,34,8,-24,30,18,24,10,-36,0
1805,1805,0,-24230,-24990,-23340,-19456,-13980,-6792,696,8078,18,-10,-24,14,-14,8,-8,46,0
1806,1806,0,14636,19928,23204,24460,23538,20168,14938,7886,-30,-10,26,-20,18,8,-8,14,0
1807,1807,0,-78,-8426,-15434,-20942,-24176,-24974,-23356,-19552,18,8,-8,14,-30,-10,10,14,0
1808,1808,0,-13878,-6734,648,8094,14604,19960,23172,24476,-14,8,10,30,18,-10,10,30,0
1809,1809,0,23490,20216,14970,7854,-142,-8410,-15394,-20974,2,-10,-8,-4,50,-26,-8,-20,0
1810,1810,0,-24176,-24974,-23340,-19552,-13926,-6766,712,8046,18,-10,10,30,18,-10,-8,-4,0
1811,1811,0,14604,19928,23220,24476,23458,20120,14938,7854,2,-10,-8,-4,-30,-10,10,-20,0
1812,1812,0,-78,-8458,-15450,-20942,-24144,-24958,-23372,-19520,2,8,-8,30,2,-42,-24,-4,0
1813,1813,0,-13862,-6824,680,8046,14572,19944,23188,24492,2,8,-8,-4,2,-26,-8,-4,0
1814,1814,0,23426,20120,14970,7870,-126,-8426,-15378,-20958,18,-10,10,-4,18,8,10,14,0
1815,1815,0,-24214,-24942,-23404,-19504,-13942,-6702,648,8062,2,-10,10,-4,2,-10,10,-20,0
1816,1816,0,14572,19912,23220,24508,23490,20152,14938,7886,-14,24,10,-4,34,-26,-8,-4,0
1817,1817,0,-142,-8442,-15378,-20910,-24128,-24974,-23340,-19488,34,8,26,14,2,8,26,-4,0
1818,1818,0,-13894,-6718,680,8046,14620,19960,23220,24460,2,-10,10,30,-14,8,-24,14,0
1819,1819,0,23458,20136,14862,7886,-110,-8410,-15434,-20942,2,-10,-8,-36,2,-26,-24,-4,0
1820,1820,0,-24198,-24974,-23372,-19520,-13846,-6776,680,8094,2,24,10,-36,2,-10,26,30,0
1821,1821,0,14604,19928,23172,24476,23490,20152,14954,7902,34,24,-8,30,2,-10,-8,14,0
1822,1822,0,-94,-8362,-15394,-20974,-24214,-24942,-23356,-19520,2,-10,42,14,2,-10,-8,14,0
1823,1823,0,-13926,-6808,664,8078,14620,19928,23220,24508,-14,-26,-8,-20,2,8,10,30,0
1824,1824,0,23474,20184,14922,7854,-62,-8442,-15418,-20910,2,-10,10,30,18,-10,10,14,0
1825,1825,0,-24176,-24990,-23404,-19472,-13926,-6776,632,8046,-14,-10,10,30,18,24,26,-4,0
1826,1826,0,14604,19928,23236,24476,23506,20136,14954,7886,2,-10,-8,30,2,-10,10,30,0
1827,1827,0,-110,-8378,-15418,-20926,-24176,-24958,-23356,-19520,-14,-10,-24,14,2,-26,-24,30,0
1828,1828,0,-13910,-6766,680,8046,14604,19960,23236,24524,50,-10,10,-4,2,8,-8,-4,0
1829,1829,0,23490,20200,14938,7902,-110,-8442,-15466,-20926,2,32,26,30,2,-26,-24,-20,0
1830,1830,0,-24176,-24990,-23340,-19488,-13910,-6792,696,8094,2,-10,-8,14,2,8,-24,-4,0
1831,1831,0,14588,19960,23204,24524,23490,20120,14938,7886,2,-10,-8,14,2,-10,10,-20,0
1832,1832,0,-126,-8410,-15426,-20942,-24160,-24910,-23324,-19488,18,-10,26,30,2,24,10,-4,0
1833,1833,0,-13926,-6718,712,8062,14652,19976,23220,24492,-14,8,26,62,34,8,-40,14,0
1834,1834,0,23490,20184,14938,7886,-78,-8426,-15410,-20958,2,-10,10,-20,34,-10,-8,14,0
1835,1835,0,-24214,-24974,-23356,-19456,-13910,-6702,664,8094,2,24,10,30,2,8,26,-4,0
1836,1836,0,14604,20008,23268,24524,23506,20168,14986,7870,2,8,10,-4,-14,8,42,-4,0
1837,1837,0,-110,-8394,-15418,-20910,-24072,-24910,-23324,-19456,2,-10,-8,14,2,24,-24,14,0
1838,1838,0,-13980,-6734,664,8046,14604,19992,23220,24444,18,-10,10,14,2,-26,-8,30,0
1839,1839,0,23490,20152,14970,7886,-78,-8394,-15394,-20942,2,-26,10,14,-14,8,10,14,0
1840,1840,0,-24230,-24990,-23356,-19568,-13958,-6776,680,8062,-30,8,-8,-4,2,-10,10,-4,0
1841,1841,0,14604,19912,23220,24492,23474,20152,14970,7870,18,8,10,-4,2,-10,10,-4,0
1842,1842,0,-110,-8426,-15450,-20894,-24176,-24974,-23356,-19520,18,-10,10,-20,-14,-10,26,14,0
1843,1843,0,-13894,-6734,632,8110,14636,19928,23204,24460,34,-10,-8,-20,2,-42,-8,14,0
1844,1844,0,23506,20168,14938,7886,-110,-8458,-15434,-20958,18,-26,-8,-4,18,-26,10,-20,0
1845,1845,0,-24144,-24926,-23356,-19488,-13894,-6750,664,8078,2,-10,10,14,-46,-26,10,-4,0
1846,1846,0,14604,19960,23172,24508,23490,20184,14954,7870,2,-10,-24,14,2,-26,10,14,0
1847,1847,0,-110,-8394,-15434,-20942,-24176,-24958,-23340,-19520,18,-26,10,14,2,-10,10,-4,0
1848,1848,0,-13894,-6718,680,8078,14636,19928,23252,24492,-14,-10,10,-4,2,-10,10,-20,0
1849,1849,0,23458,20152,14970,7886,-126,-8410,-15426,-20926,34,-10,-8,14,18,-10,10,-4,0
1850,1850,0,-24198,-24958,-23388,-19536,-13894,-6734,680,8094,18,-26,26,-4,18,-10,-72,-20,0
1851,1851,0,14604,20024,23252,24524,23490,20216,15018,7918,2,-10,-24,-20,18,8,-8,-20,0
1852,1852,0,-94,-8458,-15394,-20942,-24176,-24926,-23356,-19504,18,8,26,-20,18,-10,26,-20,0
1853,1853,0,-13894,-6750,664,8046,14572,19960,23220,24524,-14,-26,-8,14,-14,8,26,-4,0
1854,1854,0,23506,20152,14938,7886,-78,-8410,-15434,-20942,34,-26,10,-20,18,-10,10,-4,0
1855,1855,0,-24192,-24958,-23340,-19552,-13910,-6718,680,8046,-14,24,-8,14,18,-10,-8,-4,0
1856,1856,0,14636,19944,23252,24508,23506,20136,14970,7854,-46,-10,26,14,-14,-10,-8,14,0
1857,1857,0,-110,-8474,-15466,-20958,-24144,-24972,-23340,-19504,-14,8,-8,-4,-30,-10,-24,-4,0
1858,1858,0,-13910,-6718,664,8046,14636,19928,23252,24476,2,-26,-24,30,-30,8,-8,14,0
1859,1859,0,23506,20168,14970,7854,-94,-8410,-15418,-20942,34,32,26,-4,2,-26,26,-4,0
1860,1860,0,-24230,-24924,-23356,-19488,-13862,-6766,696,8126,18,-26,42,-4,2,-10,10,14,0
1861,1861,0,14556,19976,23284,24508,23426,20120,14986,7870,2,-10,-24,30,34,-10,10,-4,0
1862,1862,0,-156,-8410,-15434,-20942,-24198,-24956,-23324,-19504,18,8,26,-20,2,-10,26,14,0
1863,1863,0,-13830,-6718,728,8046,14620,19976,23220,24524,18,-10,10,14,-30,8,-40,62,0
1864,1864,0,23506,20152,14970,7918,-78,-8410,-15434,-20974,2,24,-8,-4,18,-10,10,-4,0
1865,1865,0,-24176,-24956,-23308,-19536,-13894,-6734,680,8046,-14,32,-24,14,-14,-10,26,14,0
1866,1866,0,14636,19960,23252,24492,23490,20184,14878,7870,34,8,10,30,34,-10,-40,14,0
1867,1867,0,-142,-8474,-15394,-20926,-24176,-24940,-23388,-19504,18,-10,-8,30,34,-10,10,-4,0
1868,1868,0,-13862,-6686,728,8110,14620,19944,23236,24492,2,-26,-8,-4,-46,-10,26,14,0
1869,1869,0,23458,20120,14954,7886,-110,-8442,-15418,-20926,34,8,10,-4,34,8,-8,14,0
1870,1870,0,-24144,-25004,-23356,-19456,-13862,-6718,712,8062,-46,-10,10,14,2,8,-8,-20,0
1871,1871,0,14636,19912,23236,24476,23522,20168,14938,7854,2,8,-40,-4,2,8,-8,-20,0
1872,1872,0,-110,-8426,-15426,-20926,-24160,-24908,-23372,-19488,2,8,-24,-20,34,24,10,-4,0
1873,1873,0,-13862,-6670,712,8126,14668,19944,23204,24524,2,8,26,-4,2,-26,26,30,0
1874,1874,0,23538,20152,14954,7838,-172,-8410,-15434,-20926,18,-10,42,14,-14,48,10,-4,0
1875,1875,0,-24176,-24892,-23324,-19456,-13878,-6686,712,8062,2,-10,26,14,2,-10,10,-4,0
1876,1876,0,14588,19928,23204,24492,23490,20168,14922,7854,-30,-10,10,14,2,8,-24,-4,0
1877,1877,0,-78,-8394,-15394,-20974,-24160,-24876,-23308,-19552,-14,-10,-8,-36,2,-10,-8,-4,0
1878,1878,0,-13894,-6734,712,8110,14604,19960,23268,24476,2,-10,10,-4,2,-10,10,-4,0
1879,1879,0,23474,20184,14894,7838,-110,-8458,-15418,-20958,2,-26,10,-4,2,8,-24,-4,0
1880,1880,0,-24160,-24924,-23324,-19504,-13766,-6718,696,8142,34,24,-8,30,18,-10,10,30,0
1881,1881,0,14604,19944,23236,24556,23490,20152,14938,7838,2,8,10,14,18,8,10,30,0
1882,1882,0,-62,-8410,-15362,-20910,-24088,-24956,-23388,-19488,-30,24,26,14,2,-10,-40,14,0
1883,1883,0,-13830,-6702,664,8078,14620,19928,23236,24524,2,-10,-24,14,2,8,-8,-4,0
1884,1884,0,23490,20168,14954,7854,-78,-8426,-15450,-20942,-14,8,-8,-36,34,24,10,-20,0
1885,1885,0,-24160,-24972,-23324,-19456,-13862,-6702,712,8110,2,-26,-8,-4,-46,-10,10,-4,0
1886,1886,0,14620,19960,23236,24508,23490,20184,14922,7870,18,8,10,-20,18,-10,26,14,0
1887,1887,0,-142,-8394,-15362,-20942,-24198,-24908,-23308,-19440,-14,-10,-8,-20,18,8,-8,-20,0
1888,1888,0,-13798,-6702,696,8142,14636,19960,23236,24556,-14,-26,-8,14,-14,-26,10,-20,0
1889,1889,0,23506,20152,15002,7854,-78,-8426,-15394,-20942,2,-26,-8,-20,18,8,10,-20,0
1890,1890,0,-24160,-24956,-23308,-19504,-13862,-6734,712,8126,-14,8,26,-4,2,-10,-24,-36,0
1891,1891,0,14636,20008,23220,24476,23490,20168,14938,7918,2,-26,26,-4,18,8,42,14,0
1892,1892,0,-172,-8410,-15434,-20910,-24112,-24908,-23356,-19504,2,-10,26,-4,34,-26,-24,-20,0
1893,1893,0,-13878,-6702,696,8078,14706,19976,23268,24460,18,-10,-24,14,2,24,10,-4,0
1894,1894,0,23554,20200,14954,7854,-172,-8410,-15434,-20958,18,-10,-24,-4,34,-10,-8,14,0
1895,1895,0,-24182,-24876,-23308,-19456,-13862,-6734,712,8110,2,-10,26,-4,2,-10,10,-20,0
1896,1896,0,14668,19944,23236,24540,23490,20136,14938,7870,18,-10,-24,-20,2,-10,10,-4,0
1897,1897,0,-172,-8442,-15418,-20958,-24176,-24956,-23324,-19424,2,8,10,-20,2,8,-8,-4,0
1898,1898,0,-13910,-6686,696,8142,14636,19960,23204,24508,-14,8,10,14,18,-10,-24,14,0
1899,1899,0,23490,20152,14938,7870,-204,-8490,-15418,-20958,2,8,-8,-4,18,48,-8,14,0
1900,1900,0,-24214,-24956,-23324,-19536,-13878,-6750,616,8110,2,-42,-24,14,2,-10,26,-4,0
1901,1901,0,14572,19880,23172,24476,23490,20104,14938,7822,-30,-10,-8,14,2,-10,10,-4,0
1902,1902,0,-110,-8410,-15466,-20926,-24230,-25004,-23340,-19504,18,-10,26,14,18,8,-8,-36,0
1903,1903,0,-13862,-6718,680,8142,14636,19976,23236,24524,18,24,26,-20,-14,8,10,-20,0
1904,1904,0,23490,20104,14922,7838,-204,-8426,-15394,-20942,18,8,10,30,18,8,10,-4,0
1905,1905,0,-24160,-24956,-23324,-19488,-13862,-6686,680,8110,18,-26,10,-20,2,24,-8,14,0
1906,1906,0,14620,19944,23188,24506,23458,20168,14878,7822,18,-10,-8,-20,-14,-10,26,14,0
1907,1907,0,-172,-8458,-15450,-20910,-24198,-24940,-23308,-19456,2,8,42,-4,18,-26,10,-4,0
1908,1908,0,-13878,-6750,664,8110,14588,19976,23236,24506,2,8,10,14,2,8,10,30,0
1909,1909,0,23522,20168,14970,7838,-142,-8474,-15410,-20974,18,-10,26,-4,2,-10,-8,30,0
1910,1910,0,-24198,-24956,-23340,-19456,-13894,-6750,760,8126,2,-10,58,14,34,8,10,-4,0
1911,1911,0,14636,19944,23220,24506,23458,20104,14906,7838,2,8,42,-4,2,8,26,-20,0
1912,1912,0,-172,-8474,-15394,-20958,-24198,-24940,-23308,-19520,2,-10,10,-4,2,8,-8,-4,0
1913,1913,0,-13846,-6734,760,8142,14652,19976,23188,24506,2,8,26,-4,-14,8,26,-20,0
1914,1914,0,23490,20168,14922,7918,-126,-8458,-15450,-20942,-14,48,10,30,50,8,-24,14,0
1915,1915,0,-24160,-24908,-23324,-19488,-13846,-6750,664,8094,18,24,-8,-20,2,8,10,14,0
1916,1916,0,14668,19976,23236,24554,23490,20120,14906,7794,18,-10,26,-4,-14,8,26,-4,0
1917,1917,0,-172,-8442,-15426,-20942,-24214,-24972,-23340,-19456,2,8,10,-4,2,-10,-24,-4,0
1918,1918,0,-13878,-6750,680,8142,14604,19960,23204,24458,-14,32,26,14,18,-26,-8,14,0
1919,1919,0,23490,20072,14862,7822,-142,-8474,-15394,-20990,18,48,42,-36,2,-10,10,46,0
1920,1920,0,-24214,-24924,-23324,-19488,-13830,-6718,680,8062,34,8,26,30,34,-10,10,-4,0
1921,1921,0,14636,19992,23220,24490,23458,20184,14938,7794,34,24,26,30,34,8,26,-20,0
1922,1922,0,-188,-8522,-15450,-20894,-24214,-24972,-23340,-19488,18,8,-8,-20,2,8,26,-4,0
1923,1923,0,-13830,-6670,696,8142,14620,19928,23172,24458,-30,-26,26,-4,-14,-10,42,-4,0
1924,1924,0,23442,20120,14922,7838,-188,-8442,-15426,-20990,-14,-10,26,-4,2,48,10,14,0
1925,1925,0,-24128,-24956,-23324,-19488,-13910,-6766,728,8046,18,32,10,-20,-14,-10,10,-4,0
1926,1926,0,14604,19896,23188,24442,23490,20104,14862,7854,2,8,10,46,2,-26,-8,30,0
1927,1927,0,-142,-8426,-15466,-21006,-24214,-24908,-23308,-19504,18,64,-24,-4,18,-10,10,-4,0
1928,1928,0,-13910,-6702,696,8078,14668,19944,23220,24458,34,-10,10,14,34,-26,26,-4,0
1929,1929,0,23474,20120,14906,7794,-204,-8442,-15450,-20958,-14,-10,26,30,-14,-10,26,-20,0
1930,1930,0,-24214,-24956,-23308,-19488,-13878,-6686,696,8078,18,-10,-8,-4,34,-10,26,-4,0
1931,1931,0,14636,19960,23204,24522,23522,20168,14846,7812,18,-26,10,-4,2,-10,-8,14,0
1932,1932,0,-142,-8442,-15362,-20974,-24214,-24956,-23340,-19504,50,8,10,-4,2,32,42,14,0
1933,1933,0,-13862,-6734,680,8078,14636,19960,23252,24554,2,24,10,14,34,-10,10,14,0
1934,1934,0,23538,20168,14938,7854,-204,-8458,-15426,-20990,34,-26,-8,-4,-30,-10,-8,-36,0
1935,1935,0,-24198,-24940,-23324,-19456,-13862,-6686,680,8046,2,8,26,30,2,-26,10,30,0
1936,1936,0,14620,19944,23236,24458,23458,20120,14878,7854,18,8,10,14,34,-10,26,-20,0
1937,1937,0,-188,-8474,-15394,-20974,-24176,-24924,-23340,-19488,18,8,10,30,34,-10,10,-4,0
1938,1938,0,-13862,-6734,648,8078,14636,19944,23220,24490,18,-26,26,30,2,8,10,-4,0
1939,1939,0,23458,20152,14922,7838,-94,-8426,-15482,-20990,2,24,10,30,18,-10,-24,-4,0
1940,1940,0,-24144,-24956,-23372,-19520,-13830,-6718,712,8062,2,-26,10,-36,34,-26,-8,14,0
1941,1941,0,14652,19944,23252,24474,23442,20136,14954,7778,50,-10,10,-4,18,8,10,-4,0
1942,1942,0,-188,-8458,-15418,-20926,-24192,-24908,-23356,-19440,2,-10,-8,-4,2,-26,10,-4,0
1943,1943,0,-13830,-6718,728,8094,14652,20008,23252,24490,34,-10,26,-4,18,-26,-24,-4,0
1944,1944,0,23506,20152,14862,7762,-172,-8426,-15482,-20974,2,-26,10,14,2,-10,10,30,0
1945,1945,0,-24128,-24940,-23388,-19488,-13894,-6670,680,8078,2,8,-8,-4,2,8,10,30,0
1946,1946,0,14620,19944,23252,24458,23442,20168,14938,7794,18,-26,-8,-4,34,8,-24,14,0
1947,1947,0,-188,-8474,-15450,-20958,-24198,-24972,-23324,-19520,2,8,-8,14,2,-26,-24,-20,0
1948,1948,0,-13862,-6718,712,8078,14604,19992,23204,24506,18,-26,-8,14,18,8,10,30,0
1949,1949,0,23474,20168,14954,7838,-172,-8426,-15434,-20942,34,-10,26,-4,18,-10,-24,-4,0
1950,1950,0,-24176,-24940,-23292,-19488,-13830,-6686,712,8094,2,8,10,30,34,24,-40,14,0
1951,1951,0,14604,19992,23252,24522,23458,20136,14970,7812,18,-26,-8,14,18,8,10,-20,0
1952,1952,0,-188,-8490,-15434,-20958,-24246,-24956,-23356,-19456,34,8,-8,-20,-14,-10,26,-20,0
1953,1953,0,-13798,-6686,760,8142,14652,19976,23188,24474,34,-10,26,-4,2,8,-8,14,0
1954,1954,0,23458,20152,14906,7870,-172,-8458,-15466,-20974,-14,-10,26,14,2,24,10,-4,0
1955,1955,0,-24198,-24908,-23340,-19488,-13862,-6718,696,8142,18,8,26,30,18,-10,-8,14,0
1956,1956,0,14620,19992,23220,24490,23458,20152,14938,7794,18,8,26,-4,2,-26,-40,-4,0
1957,1957,0,-188,-8458,-15482,-20926,-24198,-24924,-23308,-19504,-14,8,-8,-4,34,-10,-24,14,0
1958,1958,0,-13862,-6686,728,8110,14652,19960,23332,24538,34,-26,10,30,50,-26,26,-4,0
1959,1959,0,23522,20152,14938,7822,-204,-8458,-15466,-20958,34,8,10,30,18,-10,26,30,0
1960,1960,0,-24214,-24956,-23276,-19488,-13894,-6718,680,8110,2,-10,-8,14,34,-10,42,-4,0
1961,1961,0,14652,19992,23284,24490,23442,20120,14954,7838,2,24,10,-4,18,-26,10,-4,0
1962,1962,0,-94,-8442,-15450,-20958,-24176,-24956,-23340,-19488,18,-26,10,-20,50,-10,10,-4,0
1963,1963,0,-13878,-6718,712,8142,14636,19976,23236,24490,18,8,26,14,18,8,-8,-20,0
1964,1964,0,23490,20152,14878,7822,-62,-8458,-15482,-21054,2,-42,10,-4,2,-10,-8,-36,0
1965,1965,0,-24176,-24956,-23324,-19504,-13830,-6702,776,8110,2,-10,-8,-20,18,-10,10,-4,0
1966,1966,0,14706,19944,23220,24522,23554,20120,14846,7838,2,-10,26,-4,18,8,-24,14,0
1967,1967,0,-126,-8474,-15434,-20974,-24176,-24956,-23372,-19440,34,-10,-8,-4,18,8,26,-4,0
1968,1968,0,-13894,-6734,728,8110,14636,19912,23204,24506,2,-10,-8,14,-14,-10,26,-4,0
1969,1969,0,23522,20120,14862,7854,-110,-8458,-15466,-20958,34,24,10,14,18,-26,26,-20,0
1970,1970,0,-24246,-24988,-23356,-19456,-13846,-6718,712,8142,18,-10,-24,30,18,-10,26,30,0
1971,1971,0,14636,19992,23268,24490,23506,20152,14846,7854,2,8,10,-4,-14,-10,10,-20,0
1972,1972,0,-172,-8442,-15450,-21006,-24198,-24908,-23292,-19424,-14,48,10,14,-30,-26,10,-20,0
1973,1973,0,-13910,-6670,696,8078,14668,19976,23220,24490,2,8,26,14,2,24,26,14,0
1974,1974,0,23474,20152,14862,7762,-172,-8474,-15466,-20926,18,8,26,-4,18,8,-8,30,0
1975,1975,0,-24160,-24924,-23340,-19488,-13910,-6734,760,8078,2,-10,10,30,34,8,26,-4,0
1976,1976,0,14636,19992,23284,24490,23490,20184,14970,7778,34,24,10,-4,18,24,-24,14,0
1977,1977,0,-204,-8458,-15418,-20974,-24128,-24892,-23292,-19456,34,24,42,-4,34,-26,10,62,0
1978,1978,0,-13862,-6686,728,8158,14706,19992,23252,24506,2,8,-24,-4,2,-26,-8,14,0
1979,1979,0,23506,20168,14878,7854,-172,-8458,-15434,-20958,2,8,26,30,18,-10,26,14,0
1980,1980,0,-24160,-24956,-23324,-19456,-13830,-6686,680,8110,-14,8,10,14,18,8,26,-20,0
1981,1981,0,14668,19960,23204,24522,23474,20120,14954,7870,34,-10,10,-4,18,24,-24,46,0
1982,1982,0,-172,-8442,-15434,-20990,-24214,-24940,-23324,-19488,2,-10,10,30,2,24,26,-4,0
1983,1983,0,-13846,-6670,744,8078,14668,19960,23220,24522,18,8,10,14,18,-10,26,14,0
1984,1984,0,23506,20152,14846,7822,-126,-8474,-15482,-20942,34,-10,-8,30,34,-10,-8,14,0
1985,1985,0,-24214,-24956,-23324,-19456,-13830,-6718,744,8142,2,8,-24,-36,50,-10,-8,14,0
1986,1986,0,14652,19960,23252,24474,23474,20088,14922,7762,2,8,10,62,18,-26,-24,30,0
1987,1987,0,-204,-8490,-15450,-20926,-24214,-24972,-23324,-19488,2,-10,10,14,2,8,10,30,0
1988,1988,0,-13766,-6670,696,8142,14668,19976,23188,24474,-30,8,10,14,18,-10,-8,14,0
1989,1989,0,23490,20152,14922,7822,-204,-8474,-15466,-20974,2,8,10,-4,18,-10,10,14,0
1990,1990,0,-24214,-24940,-23308,-19488,-13862,-6670,744,8110,34,8,10,-20,-14,48,10,-4,0
1991,1991,0,14620,20008,23236,24538,23442,20088,14846,7822,18,-10,-24,14,-30,8,-40,-4,0
1992,1992,0,-188,-8474,-15466,-20974,-24144,-24956,-23308,-19504,2,8,10,30,2,-26,-24,-4,0
1993,1993,0,-13814,-6702,760,8126,14668,19992,23236,24474,2,-10,26,30,18,8,10,30,0
1994,1994,0,23490,20152,14922,7822,-188,-8506,-15498,-20990,2,-10,10,-4,2,8,10,14,0
1995,1995,0,-24182,-24924,-23324,-19456,-13830,-6670,760,8110,18,-26,-8,14,18,8,26,-4,0
1996,1996,0,14652,20024,23236,24554,23490,20072,14846,7838,34,8,-24,14,18,-10,26,-20,0
1997,1997,0,-188,-8506,-15482,-20958,-24214,-24924,-23324,-19456,2,8,-8,14,18,-10,10,30,0
1998,1998,0,-13830,-6622,744,8094,14636,19992,23252,24490,18,-10,-8,14,34,-26,10,-4,0
1999,1999,0,23490,20136,14862,7822,-188,-8426,-15394,-20990,34,8,42,30,18,8,-24,30,0
2000,2000,0,-24160,-24892,-23308,-19456,-13862,-6702,776,8142,2,8,10,-4,18,-10,10,14,0
2001,2001,0,14684,20024,23252,24474,23490,20232,14938,7794,2,8,10,62,18,-42,26,-4,0
2002,2002,0,-126,-8458,-15466,-20974,-24176,-24892,-23308,-19456,2,-10,26,-4,18,32,10,-4,0
2003,2003,0,-13798,-6638,792,8078,14652,19976,23300,24506,2,8,10,-36,2,-26,-8,30,0
2004,2004,0,23538,20120,14878,7822,-188,-8442,-15394,-20958,-14,8,58,46,18,-26,10,14,0
2005,2005,0,-24214,-24940,-23308,-19456,-13830,-6670,728,8110,-14,8,42,-20,50,-10,10,14,0
2006,2006,0,14652,20008,23268,24538,23474,20136,14938,7854,34,8,-24,46,2,8,42,14,0
2007,2007,0,-188,-8426,-15482,-20974,-24176,-24940,-23356,-19488,18,8,10,14,2,8,-24,-20,0
2008,2008,0,-13814,-6638,744,8174,14636,19976,23252,24506,18,-10,26,-4,18,-10,10,-4,0
2009,2009,0,23474,20072,14954,7812,-172,-8522,-15514,-20958,18,24,-8,-4,-14,-10,-40,-20,0
2010,2010,0,-24176,-24940,-23340,-19520,-13830,-6686,744,8174,2,-10,-24,14,34,8,10,-20,0
2011,2011,0,14706,19976,23236,24490,23506,20136,14878,7794,2,-26,-8,-36,34,48,10,-4,0
2012,2012,0,-204,-8506,-15466,-20958,-24214,-24956,-23372,-19456,18,8,-8,-20,-14,-10,-8,-4,0
2013,2013,0,-13846,-6670,760,8142,14668,20040,23284,24490,-14,8,26,14,-46,-10,-24,14,0
2014,2014,0,23506,20152,14862,7762,-204,-8474,-15450,-20942,2,-42,-24,30,18,8,10,14,0
2015,2015,0,-24160,-24972,-23324,-19488,-13830,-6718,744,8110,18,-10,-8,-4,-14,-10,10,-4,0
2016,2016,0,14700,19944,23236,24474,23506,20072,14846,7838,2,-26,10,-4,34,-26,10,30,0
2017,2017,0,-188,-8458,-15450,-20926,-24214,-24924,-23260,-19456,2,32,-8,-4,34,-26,10,-4,0
2018,2018,0,-13862,-6702,728,8126,14636,19976,23284,24506,18,-42,-24,-20,-14,-10,10,14,0
2019,2019,0,23458,20120,14846,7794,-188,-8490,-15482,-20958,2,8,-8,-4,50,8,26,-4,0
2020,2020,0,-24176,-24940,-23292,-19456,-13846,-6670,712,8126,18,-26,10,-4,2,8,10,30,0
2021,2021,0,14722,19976,23268,24458,23442,20168,14862,7794,-30,8,42,-4,18,8,42,-20,0
