Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
751,751,0,0,16000600,1
752,752,0,0,d6ff3600,1
753,753,0,0,f6ff1600,1
754,754,0,0,06001600,1
755,755,0,2,1600fc00,1
756,756,0,0,16000600,1
757,757,0,0,16000600,1
758,758,0,0,16000600,1
759,759,0,2,0600fc00,1
760,760,0,0,f6ff2600,1
761,761,0,0,f6ff1600,1
762,762,0,0,16000600,1
763,763,0,8,fc000600,1
764,764,0,8,fcfff6ff,1
765,765,0,0,f6ff1600,1
766,766,0,0,16000600,1
767,767,0,0,06002600,1
768,768,0,2,f6fffc00,1
769,769,0,0,4c000600,1
770,770,0,0,36000600,1
771,771,0,8,7c000600,1
772,772,0,0,16000600,1
773,773,0,8,fc000600,1
774,774,0,0,0600f6ff,1
775,775,0,0,1600f6ff,1
776,776,0,2,1600fc00,1
777,777,0,2,0600fc00,1
778,778,0,2,0600fc00,1
779,779,0,2,f6fffc00,1
780,780,0,2,0600fcff,1
781,781,0,2,f6fffc00,1
782,782,0,0,06002600,1
783,783,0,0,f6ff2600,1
784,784,0,8,fc001600,1
785,785,0,0,1600f6ff,1
786,786,0,0,06002600,1
787,787,0,0,0600f6ff,1
788,788,0,0,0600f6ff,1
789,789,0,2,0600fc00,1
790,790,0,2,0600fc00,1
791,791,0,0,1600f6ff,1
792,792,0,0,f6ff0600,1
793,793,0,0,26001600,1
794,794,0,0,1600f6ff,1
795,795,0,2,1600fc00,1
796,796,0,0,2600f6ff,1
797,797,0,0,e6fff6ff,1
798,798,0,0,f6ff1600,1
799,799,0,0,16000600,1
800,800,0,8,fcfff6ff,1
801,801,0,0,f6ff0600,1
802,802,0,2,0600fcff,1
803,803,0,0,26001600,1
804,804,0,0,f6ff0600,1
805,805,0,8,fc000600,1
806,806,0,0,16000600,1
807,807,0,8,fc000600,1
808,808,0,0,06002600,1
809,809,0,2,1600fc00,1
810,810,0,0,0600e6ff,1
811,811,0,2,1600fc00,1
812,812,0,2,0600fc00,1
813,813,0,2,1600fc00,1
814,814,0,0,1600f6ff,1
815,815,0,0,06002600,1
816,816,0,8,7cfff6ff,1
817,817,0,0,06001600,1
818,818,0,0,06001600,1
819,819,0,2,0600fc00,1
820,820,0,0,06002600,1
821,821,0,2,2600fc00,1
822,822,0,2,1600fc00,1
823,823,0,0,16000600,1
824,824,0,2,2600fc00,1
825,825,0,8,fc000600,1
826,826,0,8,fc000600,1
827,827,0,0,f6ff1600,1
828,828,0,2,1600fcff,1
829,829,0,0,26000600,1
830,830,0,0,06001600,1
831,831,0,2,f6fffc00,1
832,832,0,8,fc000600,1
833,833,0,8,fc000600,1
