Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
152,152,0,50334b33c238882cbf3ca1242f3fca1b00403c122e3f3708bd3cfcfdbe38cef3,0,1,0,0,1
153,153,0,20c0f8e94fc0d6f31fc204fe85c53f086aca4412afd0d11b2ad8a724aae08e2c,0,1,0,0,1
154,154,0,aa379bf1ea31d7e7e32ab2dec22267d6be192ecf111034c9fa05a1c4bcfb94c1,0,1,0,0,1
155,155,0,a6e2242e19eca0340ef6c33944006b3d790a813f6914f63fd31dc73e7a26fe3b,0,1,0,0,1
156,156,0,7ef91fc16bef06c0c5e591c0cbdcbcc2b8d478c6c1cdaecb13c83bd2d3c3f4d9,0,1,0,0,1
157,157,0,40282b3bac2f8536e0357a30b23a3029033ed920be3faa17d73fe00d4d3ebb03,0,1,0,0,1
158,158,0,19c3c9dbbdc0abe401c040eee8c049f86cc385027ec7b00c02cd8816d5d3cc1f,0,1,0,0,1
159,159,0,c03d7b01463a42f74f3541edfa2ebce37127efdae51e16d38f1564ccab0b03c7,0,1,0,0,1
160,160,0,7dd5bc21aaddfa29b8e625316cf00e3786fa8f3bc404883ee30ee83fa018a43f,0,1,0,0,1
161,161,0,730906c63bff71c208f570c01deb0fc0bbe152c11fd930c483d196c817cb67ce,0,1,0,0,1
162,162,0,b01a5d3fa0231e3da72b4f398f3207342c386b2d583ca425f93ee71cfd3f6d13,0,1,0,0,1
163,163,0,dbc9dbcf1bc533d7ddc196df37c0cee832c09ef2d0c1c5fc06c50207bfc91111,0,1,0,0,1
164,164,0,fe3f4511023f37076a3cfbfc4538d2f2af3200e9ce2bc4dfcc235cd7e11afecf,0,1,0,0,1
165,165,0,f9ca3a135ed1b81cf5d879258ce1452debeae833d3f4373905ff0f3d3e09563f,0,1,0,0,1
