Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txcharisk[3:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn
109,109,0,bcbcbcbc,bcbcbcbc,f,f,78383cf3f13265e91c2c22e02624b0d7431b46d0ad1115caa30746c567fdf7c1,0,1,0,0,1
110,110,0,bcbcbcbc,bcbcbcbc,f,f,2de1f82c84eaa83369f4063999feee3cd308463fd212ff3f571c153f21258d3c,0,1,0,0,1
111,111,0,bcbcbcbc,bcbcbcbc,f,f,27fb74c109f117c04de75ec033de46c2f6d5c2c5cecebdcae7c814d16ac49fd8,0,1,0,0,1
112,112,0,bcbcbcbc,bcbcbcbc,f,f,f126c93b8b2e6037f5348c31033a742a943d4522933f3519f03f800faa3e6505,0,1,0,0,1
113,113,0,bcbcbcbc,bcbcbcbc,f,f,a1c36cda03c12be303c0a7eca5c0a1f6e8c2da00bac60c0b05ccf614a4d2571e,0,1,0,0,1
114,114,0,bcbcbcbc,bcbcbcbc,f,f,2b3e2603f23aeaf83736dbee18303de5be284fdc58204bd41f1765cd4e0dcbc7,0,1,0,0,1
115,115,0,bcbcbcbc,bcbcbcbc,f,f,41d44e2045dcb42832e50f30cfee3036ddf8ed3a1a03283e420dcb3f1417cc3f,0,1,0,0,1
116,116,0,bcbcbcbc,bcbcbcbc,f,f,180bc0c6e600ebc2aef6a7c0b3ec02c036e301c176da9dc3acd2c5c70ccc5dcd,0,1,0,0,1
117,117,0,bcbcbcbc,bcbcbcbc,f,f,2919943f3a22983d6a2a083a8431fc345a37942ec53bfb26a73e621eef3f0215,0,1,0,0,1
118,118,0,bcbcbcbc,bcbcbcbc,f,f,c4cac6cec7c5edd549c228de5fc042e716c0fdf071c11bfb65c45905e1c8740f,0,1,0,0,1
119,119,0,bcbcbcbc,bcbcbcbc,f,f,ff3fde12483fdf08f23ca6fe0c3975f4b03390ea012d38e12b25a9d8621c1dd1,0,1,0,0,1
120,120,0,bcbcbcbc,bcbcbcbc,f,f,0ecaa1113ed0371ba6d71c2417e0132c59e9ea3230f373385afd893c9607133f,0,1,0,0,1
121,121,0,bcbcbcbc,bcbcbcbc,f,f,591a9ccfb5108cc9a306e1c466fcbac140f22bc075e83fc043dff4c1e9d641c5,0,1,0,0,1
122,122,0,bcbcbcbc,bcbcbcbc,f,f,d2096b3fc813fb3f3d1de83ef225383cae2dfd373f3454327939602b3b3d5023,0,1,0,0,1
